supervisor, zaleskim,,,,,,,,,,,,,,,,,,,,,,,,,,,,
course_name, CSC300TEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
round_id,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duties list, ,,trainings list,,,categories list,a,,,,,,,,,,,,,,,,,,,,,,
Training,1,,Attending Health and Safety training session,a,,Discussion-based Tutorial,b,,,,,,,,,,,,,,,,,,,,,,
Additional Training (if required),2,,Meeting with supervisor,b,,Skill Development Tutorial,c,,,,,,,,,,,,,,,,,,,,,,
Preparation,3,,Adapting Teaching Techniques (ATT) (scaling learning activities),c,,Review and Q&A Session,d,,,,,,,,,,,,,,,,,,,,,,
Contact Time,4,,,,,Laboratory/Practical,e,,,,,,,,,,,,,,,,,,,,,,
Marking/Grading,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Duties,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applicant_name,utorid,required hours,trainings,allocations,id (generated),,,,,,,,,,,,,,,,,,,,,,,,
first_name last_name,random,60,ab,,num_units,,,,,,,,,,,,,,,,,,,,,,,,
,,total hours,categories,,unit_name,,,,,,,,,,,,,,,,,,,,,,,,
,,0,d,,minutes,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,duty,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,hours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
